word,count
"brighten",1
"brightened",2
"brighter",1
"brightest",1
"brightly",3
"brightness",2
"brim",1
"bring",52
"bringeth",1
"bringing",2
"brings",1
"brisk",2
"briskly",1
"broad",12
"broad-shouldered",1
"brogues",1
"broider",1
"broidered",9
"broiderers",2
"broiderers’",1
"broidering",3
"broidery",6
"broke",9
"broken",16
"brook",16
"brook-side",1
"brooks",1
"brookside",1
"brook’s",1
"broth",1
"brother",12
"brothers",1
"brought",80
"brow",9
"brow-hair",1
"brown",9
"brown-flecked",1
"browned",2
"brows",6
"bruised",1
"brunt",1
"brushed",1
"buck",1
"bucklers",1
"budding",1
"buds",1
"buffets",1
"build",3
"builded",17
"building",2
"built",3
"bull",1
"bulwarks",1
"bundling",2
"burden",10
"burdens",1
"burgesses",2
"burgrave",1
"burgs",4
"burial",1
"burial-stone",1
"buried",4
"burn",4
"burned",5
"burning",8
"burns",1
"burnt",1
"burnt-down",1
"burst",2
"bury",2
"bush",7
"bushed",3
"bushes",4
"busied",1
"busiest",1
"business",4
"busk",1
"busy",10
"but",1773
"butt",1
"butter",2
"buttery",1
"buxom",3
"buy",11
"buzzed",1
"by",492
"bygone",3
"byre",2
"byrnied",1
"byrnies",1
"byway",2
"c",1
"cage",13
"cain",1
"caitiff",1
"caitiffs",6
"cakes",2
"call",31
"called",74
"calledst",1
"callest",4
"calleth",1
"calling",3
"calm",11
"calmer",2
"calmly",1
"came",482
"camest",6
"camp",1
"can",36
"candle",2
"candle-light",1
"candles",4
"cannot",16
"canons",3
"canst",30
"canvass",1
"captain",19
"captains",1
"captain’s",1
"captive",1
"captives",1
"captivity",13
"carcasses",1
"care",5
"cared",2
"careful",1
"carefully",3
"carefulness",1
"cares",1
"caress",5
"caressed",14
"caresses",4
"caressing",6
"caressingly",1
"caries",1
"carl",1
"carl-folk",1
"carle",22
"carles",12
"carline",12
"carlines",1
"carried",4
"carrion",1
"carry",4
"carrying",1
"carven",9
"carving",1
"case",15
"casket",1
"cast",57
"castaway",1
"castellan",29
"castellan’s",1
"casting",2
"castle",136
"castle-tops",1
"castles",2
"cat",4
"catch",10
"catching",1
"cate",1
"cates",1
"catherine",2
"cattle",1
